description,hs_code,norms,occurrence_count,total_quantity,total_cif_value,sample_licenses,current_item_names,suggested_item_name
Fruit - Juice Orange,20091900,E1,7,72320.320,0.00,"0311028488, 0311030637, 0311041306, 0311041308",FRUIT JUICE - E1,
"cocoa, milk & milk products - milk solids",35022000,E1,7,211750.650,0.00,"5611002535, 0311041020, 0311041019, 0311043118",WPC - E1,
Binders / Thickners (HS Code 3912)/ Starch / Xanthan Gum,13023990,E1,7,2125.620,0.00,"0311031558, 0311031556, 0311031559, 0311031557",STARCH 3505,
Essential oils :- Orange,33011200,E1,7,12746.450,0.00,"0311033123, 0311041341, 0311042264, 0311015494, 0311042372",ESSENTIAL OIL,
EMULSIFIER / STABILIZING AGENT,13023990,E5,7,89.160,0.00,"0311035839, 0311035840, 0311035873, 0311038095, 0311038093",EMULSIFIER - E5,
Starch-Edible Grade (HS Code-1108),11081100,E5,7,10902.440,0.00,"3111003827, 0311037234, 0311040663, 0311040676, 0311040991",STARCH 1108,
Food Flavour -Fruit Flavour (HS Code 2009),20091100,E5,7,20886.270,0.00,"0311037322, 0311038093, 0311038094, 0311038095, 0311039001","FOOD FLAVOUR - E5, JUICE - E5",
"Sanitation and cleaning chemicals(Organic and Inorganic Acids and Alkali, Surfactants Biocides such as Hydrogen Peroxide, Soda Ash, Dislnfectants.)",28470000,E126,7,58307.200,0.00,"0311037521, 0311043440, 0311043442, 0311043441, 3411006427","SANITATION AND CLEANING CHEMICALS - E126, SODA ASH",
Leavening Agent: Yeast,21021020,E5,7,13832.970,0.00,"0311039886, 0311039885, 0311040440, 0311040471, 5211014656",LEAVENING AGENT,
Food Grade - Citric Acid - Monohydrate Food Grade 99.5% min,29181400,E1,7,82418.070,0.00,"0311041018, 0311043071, 0311043117, 0311044723, 0311044792",CITRIC ACID / TARTARIC ACID - E1,
Essential Oils: - Orange,33011200,E1,7,7677.940,0.00,"0311041019, 0311041018, 0311042371, 0311042451, 0311042452",ESSENTIAL OIL,
Milk & Milk Products-Milk Solids (HS Code 3502),35022000,E1,7,66637.230,0.00,"0311042451, 0311042452",WPC - E1,
Other Confectionery ingredients -Fruit and nut Products.,08029900,E1,7,78799.320,0.00,"0311042451, 0311042794",OTHER CONFECTIONERY INGREDIENTS - E1,
"COLD ROLLED STEEL (SHEETS/WIDE COILS) -7208,7209",72089000,C969,7,691479.940,0.00,"3011007415, 3011007581, 3011007664, 3011007682, 3011007681",COLD ROLLED STEEL,
Electro Cast Refractories,38160000,E126,6,5929.350,0.00,"0910029851, 0910049713, 0910051046, 0910052314, 0910052081",,
HDPE/LDPE/PP/PLASTIC GRANULES,39000000,,6,1032.530,390000.00,"0810084841, 0810103432, 0810097663, 0810100397, 0810105782","HDPE, LDPE",
"Sanitation and cleaning chemicals (organic and inorganic acids and Alkali, Surfactant Biocides such as Hydrogen Peroxide , Soda ash, Disinfectants)",34029099,E126,6,37478.240,0.00,"0910039211, 0910043874, 3110053838, 0310839564, 0311021592","SANITATION AND CLEANING CHEMICALS - E126, SODA ASH",
MILD STEEL COILS (WIDTH 1/2 INCH - 3/4 INCH),72000000,J373,6,34213.480,0.00,"0310651520, 0310654733, 0310657912, 0310682926, 0310651968",,
Paper & Paper Board (GSM 200+-10%) (LDPE/HDPE/PP),48000000,E5,6,84435.650,0.00,"0310662211, 0310651203, 0310662916, 0310662228, 0310663434","HDPE, LDPE, PAPER BOARD",
Oil Seal (other than Engine) NET TO NET,40169321,C969,6,16562.670,47873.34,"3010081118, 3010083836, 3010084189, 1210009154, 3010081115",OIL SEAL,
Soda Ash ( Dense / Light ),28362000,E126,6,224471.190,0.00,"0910049713, 0910051046, 0310738370, 0910052314, 0910051294",SODA ASH,
OTHER SPECIAL ADDITIVES NAMELY (A) CLAY 25080000 (B) SELENIUM 28049000 (C) NUCLEATING AGENTS (TITANIUM DIOXIDE OTHER THAN RUTILE GRADE) 32061110 (D) BARIUM CARBONATE 28366000,25309000,A3627,6,1956979.230,0.00,"0310787985, 0310787734, 0310789467, 0310789593, 0310787744",TITANIUM DIOXIDE,
Relevant Essential Oils Maximum Percentage of 51% &  reflective index of 1% & above but not more than 2%,33000000,E5,6,79041.070,0.00,"0310736984, 0310776851, 0310776850, 0310734213, 0310776854",ESSENTIAL OIL,
(VIII) DIETARY FIBRE,13022000,E5,6,112770.550,95984.01,"0910052275, 0310823762, 0310826316, 0310831149, 0310831148",DIETARY FIBRE,
CANE SUGAR,17011190,E5,6,354615.640,0.00,"0310732445, 0310701930, 0310746479, 0310714016, 0310713518",SUGAR,
ii) EMULSIFIER / STABILIZING AGENT,38000000,E5,6,1771.110,0.00,"0310732445, 0310701930, 0310746479, 0310714016, 0310713518",EMULSIFIER - E5,
v) RELEVANT FOOD COLOUR,32000000,E5,6,176.990,0.00,"0310732445, 0310701930, 0310746479, 0310714016, 0310713518",FOOD COLOUR,
white refined sugar,17019990,E5,6,9009701.080,0.00,"0310776850, 0310776851, 0310818438, 0310818080",SUGAR,
Anti Oxidant Tertiary Butyl Hydroxy Quinone (TQHQ),29072990,E5,6,324.150,0.00,"0910055754, 0910055752, 0910055749, 0910055753, 0910055750",ANTI OXIDANT,
wheat flour,11290000,E5,6,1014780.280,0.00,"0310714016, 0310713518, 5610000774, 5610000026, 5610000025",WHEAT FLOUR,
relevant food flavour orange,33021090,E1,6,1060.940,1.02,"0310828053, 0310828054, 0310828182, 0310828186, 0310831830",FOOD FLAVOUR - E1,
anti oxidant,29181400,E5,6,1485.480,0.00,"0910055369, 0311009007, 5611000702, 5611000700, 3111004302",ANTI OXIDANT,
Relevant Fruit (Juice/Pulp/Puree) SUBJECT TO ACTUAL USER CONDITION .,20083010,E1,6,0.000,0.02,"0310830033, 0310830036, 0310831880, 0310830479, 0310839069",FRUIT JUICE - E1,
relevant (food flour / flavouring agent/ flavour imp-rovers),29124200,E5,6,17313.540,0.00,"3010105334, 3010105333, 0310822809, 0910066439, 0910066290","FOOD FLAVOUR - E5, WHEAT FLOUR",
Anti oxidant Butyl Hydroxy Quinone (TBHQ),29362700,E5,6,15224.010,0.00,"3010105333, 3010105334, 0310822809, 0910065885, 0910066290",ANTI OXIDANT,
dietary fibre Wheat Bran,23023000,E5,6,98298.100,2.78,"0810145989, 0810145922, 0310835514, 0310827361, 0811003880",DIETARY FIBRE,
milk & milk products (whey powder),04041010,E5,6,16197.420,0.00,"0310827783, 0310835514, 0311004132, 0310837994, 0310831828",SWP,
rbd palm oil,15119010,E5,6,1995649.900,12843.00,"0310831843, 0310836589, 3010104292, 3010104294, 3010104360",VEGETABLE SHORTENING,
emulsifier,11081100,E1,6,5702.040,0.00,"0310831630, 0310838869, 0310839558, 0311009149","EMULSIFIER - E1, STARCH 1108",
EMULSIFIER - STARCHES,11080000,E1,6,5471.780,0.00,"0310832430, 0310832432, 0310832464, 0310832398, 0310832433","EMULSIFIER - E1, STARCH 1108, STARCH 3505",
PACKING MATARIAL :- PAPER & PAPER BOARD (GSM 150 TO 350)(HDPE/LDPE/PP),39021000,E5,6,276267.450,0.00,"0310832983, 0310832880, 0310832985, 0310833197, 0310833198","HDPE, LDPE, PAPER BOARD, PP",
RELEVANT FRUIT JUICE (ORANGE),20090000,E1,6,566331.110,0.00,"0310829977, 0310839460, 0310839542, 0310839541, 0310839625",FRUIT JUICE - E1,
"Other confectionery ingredients - edible molasses, malt extracts, edible oils & fats, fruits & fruit products, nut & nut products, tea extracts, coffee extracts, edible desiccated coconut :- Edible Oil. The CIF Value of input item shall not exceed 2 % of",08023100,E1,6,57636.030,8123.52,"0310829979, 0310838036, 0310838176, 0310838039, 0310834962",OTHER CONFECTIONERY INGREDIENTS - E1,
CANE SUGAR IMPORT OF LACTOSE/MANNITOL/SODIUM SACCHARIN & OTHER ARTIFICIAL SWEETENING AGENTS IS NOT ALLOWED AS SUBSTITUTE INPUTS AS PER PC 13 DATED : 31.01.2011,17019990,E5,6,159959.690,0.00,"0310830074, 0310830107, 0310829966, 0310827361, 0811003880",SUGAR,
"Other confectionery ingredients - edible molasses, malt extracts, edible oils & fats, fruits & fruit products, nut & nut products, tea extracts, coffee extracts, edible desiccated coconut :- Edible Oil. The CIF Value of input item shall not exceed 2 % of",15119010,E1,6,21550.270,6712.56,"0310830479, 0310834967, 0310834896, 0310838037, 0310834907",OTHER CONFECTIONERY INGREDIENTS - E1,
leaving agent/ dough conditioner,21021020,E5,6,12430.390,1.00,"3010104294, 3010104292, 3010104358, 3010104360, 0310729706",LEAVENING AGENT,
milk & milk products,04041020,E5,6,142363.130,61919.00,"0310681621, 3010085529, 3010095675, 0311005261, 0311005370",SWP,
"Edible Oils (RBD Palmolein Oil)- Other Confectionery Ingredients-edible molasses,malt extracts, ebible oils and fats, fruits products nut & nut products tea extracts coffee extracts edible desiccated coconut",08023100,E1,6,38941.740,0.00,"0311005034, 0311005544, 0311005481, 0311004986, 0311002880","OTHER CONFECTIONERY INGREDIENTS - E1, RBD PALMOLEIN OIL",
RELEVENT ESSENTIAL OILS :- ORANGE OIL,33011200,E1,6,3163.750,0.00,"0311005544, 0311008507, 0311010062, 0310839460, 0311004734",ESSENTIAL OIL,
milk & milk products,04041020,,6,176197.660,0.00,"0311006917, 0311006918, 0811003154, 0311008633, 0311008634",SWP,
Packing Material:-LDPE / HDPE / PP ( 50 to 350 GSM ),39021000,E5,6,635634.890,0.00,"0311008159, 0311007633","HDPE, LDPE, PP",
Relevant Fruit Juice/Pulp/Puree (HS Code:2009) or,20091900,E1,6,134705.670,0.00,"0311011361, 0311007211, 0311006753",FRUIT JUICE - E1,
"Other Confectionery Ingredients-edible molasses,malt extracts, ebible oils and fats, fruits products nut & nut products tea extracts coffee extracts edible desiccated coconut ( HS Code-0802)",15119020,E1,6,22364.450,0.00,"0311015553, 0311007211, 0311009149","OTHER CONFECTIONERY INGREDIENTS - E1, RBD PALMOLEIN OIL",
Fruit flavour / Lime Juice,20093900,E5,6,90965.650,0.00,"0311017841, 0311017843",JUICE - E5,
Flavour improvers :- Fruits Flavours,08029100,E5,6,39242.410,0.00,"0311018316, 0311018315, 0311018594, 0311018595, 0311018588","FOOD FLAVOUR - E5, JUICE - E5",
Essential Oil (Pippermint Oil)(HS CODE 3301),33012400,E1,6,6086.480,0.00,"0311019966, 0311020005, 0311020007, 0311020006, 0311020085",ESSENTIAL OIL,
FOOD FLAVOUR,29124200,E1,6,6086.480,0.00,"0311019966, 0311020005, 0311020006, 0311020007, 0311020085",FOOD FLAVOUR - E1,
Paper (50 to 150 GSM)(HS CODE 4810),48101990,E1,6,182594.390,0.00,"0311019966, 0311020006, 0311020007, 0311020005, 0311020085",PAPER & PAPER,
Fruit / Coco Powder - Cocoa Powder,18050000,E5,6,22875.730,0.00,"0311020008, 0311021840, 0311022855, 0311024780, 5611002534",FRUIT/COCOA - E5,
Citric Acid - Food Grade,29181400,E1,6,34944.120,0.00,"0311020066, 0311020067",CITRIC ACID / TARTARIC ACID - E1,
Food Flavour- Fruit & Nut Flavour (HS Code 0802 and 2009),08029900,E5,6,32150.630,0.00,"0311020049, 0311020050, 0311020705, 0311020834, 0311020815","FOOD FLAVOUR - E5, JUICE - E5",
Flavour Improvers :- Fruits and Nut flavours,08029900,E5,6,18865.250,0.00,"5611001401, 0311023473, 0311023482, 0311023928, 0311024893",FOOD FLAVOUR - E5,
Binders / Thickners - Starch - Xanthan Gum,39139090,E1,6,1164.810,0.00,"0311020066, 0311020067",STARCH 3505,
Packing Material :- a) Polypropylene Film Grade,39021000,E5,6,63467.990,0.00,"0311020673, 0311021492, 0311022814, 0311025287, 0311024890",PP,
Flavour Improvers :- Fruits Flavours (HS CODE 0802),08029900,E5,6,20133.420,0.00,"0311021100, 0311021576, 0311023113, 0311021412, 0311025168","FOOD FLAVOUR - E5, JUICE - E5",
Milk & Milk Products / Milk Solids/ (HSN Code 3502)/ (HSN Code 0406),35022000,E5,6,347120.930,0.00,"5211004168, 0311022337, 5211004590",CHEESE,
Edible Vegtable Oil / Palm based Oil (HS Code 1513/1516),15119020,E5,6,169534.390,0.00,"0311021413, 0311022148, 0311022939, 0311023113, 0311023928","PALM KERNEL OIL, RBD PALMOLEIN OIL",
Dietary Fibre (HS Code Code - 0802),08029900,E5,6,108731.210,0.00,"0311025545, 0311025971, 0311028984, 0311030594, 0311032964",DIETARY FIBRE,
"Milk & Milk Products (Milk Solids (Code 0404, 3502)",35022000,E5,6,289108.420,0.00,"0311025545, 0311027872, 0311030594, 0311034507, 0311034508",SWP,
Glass Formers namely:-(a) Silica (other than Fumed Silica)28110000 (b) Borax 28401900 (c) Phosphoric Acid 28092010 (d) Arsenic Trioxide 28112920 (e) Former Rutile grade 32061190 / 32061110,32061190,A3627,6,7359822.630,6856556.60,"5211005450, 5211005448, 5211005449, 5211005900, 5211005899",RUTILE,
"Food Additives as approved by FSSAI-Tocopherol (HSN 2936), Lecithin (HSN 2923), BHA (HSN 2909), TBHQ (HSN 2907), Methyl Cellulose (HSN 3912), Carboxy Methyl Cellulose (HSN 3912), Edible Strach (HSN 1108) Gellan Gum (HSN 3913).",39123100,E132,6,31209.970,0.00,"5211005814, 5211005930, 5211006127","RELEVANT ADDITIVES DESCRIPTION, STARCH 1108",
vi) Anti Oxidant (Citric Acid),29181400,E5,6,768.100,0.00,"0910060663, 0910060195, 0910058202, 0910058150, 0910061032",ANTI OXIDANT,
Food Flavour: Fruit & Nut Flavour (HS Code 2009 / 0908),20091100,E5,6,49742.630,0.00,"0311028815, 0311029850, 0311032349, 0311040341, 0311040880","FOOD FLAVOUR - E5, JUICE - E5",
Intermediates namely:-(a) Aluminium Oxide 28182000 (b) Zinc Oxide 28170010 (c) Zirconium Oxide 28256010,28256010,A3627,6,248983.930,0.00,"5211006539, 5211006536, 5211006721, 5211006722, 5211006872","ALUMINIUM OXIDE, ZINC OXIDE, ZIRCONIUM OXIDE",
Fats - Edible Vegetable Oil /Palmolein Oil / Palm Kernel Oil (HS Code 15000000),15132110,E5,6,1052388.880,0.00,"5211006864, 5211006893",PALM KERNEL OIL,
Leavening Agent - yeast / Yeast Extract,21069099,E5,6,23386.410,0.00,"5211006864, 5211006893",LEAVENING AGENT,
Edible Vegetable Oil (HS Code 15000000),15132110,E5,6,655014.050,0.00,"0311029850, 0311030356, 0311032940, 0311032964, 0311034508",PALM KERNEL OIL,
FRUIT JUICE - ORANGE (HSN 2009),20091900,E1,6,167065.250,0.00,"0311030534, 0311041019",FRUIT JUICE - E1,
FRUIT - JUICE ORANGE (HS CODE 2009),20091100,E1,6,163638.140,0.00,"0311021589, 0311045036, 0311045785, 0311046260, 0311046540",FRUIT JUICE - E1,
Milk & Milk Products  (0406)/Milk Solids (3502),35022000,E1,6,90115.970,0.00,"0311031107, 0311033121",CHEESE,
Starch - Edible Starch,11081100,E5,6,12777.650,0.00,"0311032497, 0311032718, 0311033150, 0311035414, 0311035620","STARCH 1108, STARCH 3505",
Fats - Edible Vegetable Oil (HS Code 15000000)/Palmolein Oil / Palm Kernel Oil / Cream (HSN 04015000),15132110,E5,6,1160205.160,0.00,"5211007783, 5211009407",PALM KERNEL OIL,
OTHER CONFECTIONERY INGREDIENTS - FRUITS AND NUT PRODUCTS (HS CODE 0802),08029900,E1,6,170060.230,0.00,"0311033123, 0311043117, 0311043118, 0311043071",OTHER CONFECTIONERY INGREDIENTS - E1,
Vegetable Shortening / Cream / Fats (HS Code 1804) / Spray Fats / Edible Vegetable Oil (HS Code 15000000),15132110,E5,6,523478.110,0.00,"0311033433, 0311034221, 0311035515, 0311039990, 0311040341","PALM KERNEL OIL, RBD PALMOLEIN OIL, VEGETABLE SHORTENING",
Emulsifier / Stabilizer / Glazing Agent / Binders / Thickners - Thickener,13023990,E1,6,1486.530,0.00,"0311035154, 0311040600, 0311041340",EMULSIFIER - E1,
ALLOY STEEL RODS /BAR ROUNDS/BILLETS OF CARBON CONTENT LESS THAN 2 PERCENT HS CODE 7228,72281090,C969,6,731635.350,0.00,"3011005560, 3011006401, 3011007019, 3011007649",ALLOY STEEL,
Edible Vegetable Oils such as Mustard Oil / Sunflower Oil /Palmolein Oil / Groundnut Oil / Fats(HSN 21069092) / Frying Fat - (PKO HSN 1516) Palm Kernel oil / Canola Oil (HS Code 1514 )/Margarine,15132110,E132,6,316560.140,0.00,"5211009511, 5211009509, 5211009512","EDIBLE VEGETABLE OIL - E132, PALM KERNEL OIL",
Glass Formers namely:-(a) Silica (other than Fumed Silica)28110000 (b) Borax 28401900 (c)  Phosphoric Acid 28092010 (d) Arsenic Trioxide 28112920 (e) Rutile 32061190 / 32061110,32061190,A3627,6,11052710.450,19868239.66,"5211009713, 5211009724, 5211009992, 5211010506, 5211010767",RUTILE,
Food Colour  - Caramel,17029040,E5,6,113.020,0.00,"0311037322, 0311037454, 0311037571, 0311038042, 0311038093",FOOD COLOUR,
Vegetable Shortening / Cream / Fats / Spray Fats - Edbile Vegetable Oil (HS Code 15000000),15132110,E5,6,305484.650,0.00,"0311037571, 0311038094, 0311038093, 0311038095","PALM KERNEL OIL, RBD PALMOLEIN OIL, VEGETABLE SHORTENING",
Food Colours :-Caramal,17029040,E1,6,64.600,0.00,"0311021555, 0311041018, 0311041019, 0311042452, 0311042451",FOOD COLOUR,
Vegetable Shortening / Cream / Fats / Spray Fats - Edible Vegetable oil (HS Code 15000000),15119020,E5,6,427003.210,0.00,"0311039888, 0311040471, 0311040470, 0311044765, 0311044789","RBD PALMOLEIN OIL, VEGETABLE SHORTENING",
Vegetable Shortening / Cream /Fats / Spray Fats - Edible Vegetable oil (HS Code 15000000),15132110,E5,6,112794.460,0.00,"0311039943, 0311044437, 0311044480","PALM KERNEL OIL, RBD PALMOLEIN OIL, VEGETABLE SHORTENING",
Other Confectionery ingredients-Fruits and nut products HS Code 0802),08029900,E1,6,10701.080,0.00,"0311040600, 0311041130, 0311042064",OTHER CONFECTIONERY INGREDIENTS - E1,
"Relevant Food Addivities as per FSSAI: Tocopherol (2936), Lecthin (2923), Butylated Hydroynansole (BHA) (2909), Tertiary Butyl, Hydroqunone (TBHQ) (2907), Methyl Cellulose (3912), Carboxy Methyl Cellulose (3912), Gellan Gum (3913)",13023100,E132,6,33020.840,0.00,"0511031033, 0511031038, 5011002060, 5011002075, 5011002081",RELEVANT ADDITIVES DESCRIPTION,
(a) Silica (other than Fumed Silica) 28110000 (b) Borax 28401900 (c) Phosphoric Acid 28092010 (d)  Arsenic Trioxide 28112920 (e) Rutile 32061190 / 32061110 [Quantity of Borax do not exceed 10%],32061190,A3627,6,11757492.140,16351672.20,"3411006129, 5211012386, 5211012527, 5211012710, 5211016345",,
Emulsifier (Xanthium Gum),39139090,E1,6,1201.500,0.00,"0311042065, 0311044725, 0311044724, 0311044736, 0311044791",EMULSIFIER - E1,
"Relevant Fats and Oils namely Olive Oil (HSN 1509,1510) /Sunflower Oil (HSN 1512)/Cotton seed oil (HSN 1512)/Mustard oil (HSN 1514)",15099010,E126,6,365721.310,1393540.86,"0311042272, 0311043441, 0311043442, 0311043440, 0311048826",,
"Other Confectionery ingredients --edible molasses, malt extracts, edible oils and fats, nut and nuts products (HS Code 0802), fruits and fruit products",08029900,E1,6,281555.390,0.00,"0311043133, 0311043437",OTHER CONFECTIONERY INGREDIENTS - E1,
Food Grade Flavours,09083190,E1,6,4515.280,0.00,"0311043437, 0311019638",FOOD FLAVOUR - E1,
Food Colours (HS Code 3204),32041981,E1,6,179.880,0.00,"0311045122, 0311046641",FOOD COLOUR,
Essential Oils(HS Code 3301),33011200,E1,6,3225.750,0.00,"0311045598, 0311045614, 0311045599, 0311046233",ESSENTIAL OIL,
Food Flavours,21069099,E1,6,1729.420,0.00,"0311045599, 0311045614, 0311045598, 0311046233",FOOD FLAVOUR - E1,
Emulsifier/Stablizing Agent -Stabiliser,13023990,E1,6,1729.420,0.00,"0311045614, 0311045599, 0311045598, 0311046233",EMULSIFIER - E1,
Other Confectionary Ingredients -Fruits and Fruit Product :- Fruit & Nut Products (0802/0806),08029900,E1,6,86471.130,0.00,"0311045614, 0311045598, 0311045599, 0311046233",,
Edible Vegetable Oils such as Mustard Oil / Sunflower Oil /Palmolein Oil / Groundnut Oil / Fats (HSN 21069092) / Frying Fat - (PKO HSN 1516) Palm Kernel oil (1513) / Canola Oil (HS Code 15141120/15141920) / Margarine,15132910,E132,6,294644.250,0.00,"0311046629, 0311046628, 3411006939","EDIBLE VEGETABLE OIL - E132, PALM KERNEL OIL",
CLUTCH ASSEMBLY (INCLUDING SPLIT / TORQUE TYPE),87089300,C969,6,1240.000,0.00,"3011007970, 3011007968, 3011007975, 3011007977, 3011007969",CLUTCH ASSEMBLY,
,,A3627,6,1149191.720,0.00,0310610591,,
VEGETABLE SHORTENINGS / CREAMS / FATS / SPRAY FATS,08130000,E5,5,172125.580,0.00,"0310525017, 0310514838, 0310529615, 0310561111, 0310673062","RBD PALMOLEIN OIL, VEGETABLE SHORTENING",
INVERT SUGAR / LIQUID GLUCOSE,17000000,E5,5,163343.370,0.00,"0310520938, 0310499297, 0310519932, 0310500520, 0310559961","LIQUID GLUCOSE, SUGAR",
FOOD FLAVOUR,32000000,E5,5,15213.190,0.00,"0310520938, 0310499297, 0310500520, 0310539652, 0310597347",FOOD FLAVOUR - E5,
SODIUM NITRATE,31025000,,5,99550.490,0.00,"0910039949, 0910044718, 0310642386, 0310648049, 0310661031",SODIUM NITRATE,
Relevant Fats & oils namely sesame oil/ Mustard Oil/ Gingelly oil/Salad oil/Ground-nut oil/Palm oil/Sunflower oil,15119020,E126,5,511674.690,0.00,"0910039211, 0910043874, 3110053838, 0310695860, 0910039213",RBD PALMOLEIN OIL,
i) Essential Oils (Food Grade),33012000,E1,5,6383.590,0.00,"0310641469, 0310646062, 0310662034, 0310662039, 0310666615",ESSENTIAL OIL,
RELEVANT ESSENTIAL OILS,33000000,E1,5,6447.600,11711.00,"0310687206, 0310689110, 0310681169, 0310681614, 0310681423",ESSENTIAL OIL,
cane sugar,17020000,E5,5,394246.160,0.00,"0310727816, 0310732431, 0310694983, 0310742587, 0910052080",SUGAR,
leaving agent/ dough conditioner,04000000,E5,5,10384.220,0.00,"0310727816, 0310732431, 0310742587, 0310740883, 0310834150",LEAVENING AGENT,
anti oxidant,04000000,E5,5,197.550,0.00,"0310727816, 0310732431, 0310742587, 0310743303, 3010085529",ANTI OXIDANT,
Paper & Paper Board (50-350 GSM),48100000,E126,5,138907.730,1000.00,"0910049713, 0910051046, 0910051294, 0910052081, 0910049060",PAPER BOARD,
Formers (TIO2) (ITC HS CODE : 32061110),28230010,E126,5,172631.520,0.00,"0910049713, 0910051046, 0910052081, 0910051294, 0910049060",RUTILE,
"Formers Relevant to the export product (AL203, P205,ZnO, Rutile, CaO, Opacifying Oxides)",28230010,E126,5,123916.450,0.00,"0310702750, 0310716679, 0310716678, 0310723147, 0310723146",RUTILE,
MODIFIERS NAMELY (A) MAGNESIUM OXIDE 25199040 (B) SODA ASH (DENSE/LIGHT) 28362010/28362020 (C) SODIUM NITRATE 28342990/31025000 (D) POTASH 28364000/28152000 (E) POTASSIUM NITRATE 28342100,28200000,A3627,5,4551883.060,0.00,"0310787985, 0310789593, 0310789467, 0310788061, 0310787744","SODA ASH, SODIUM NITRATE",
cane sugar,17029090,E5,5,5166324.020,0.00,"0310736984, 0310734213, 0310705160",SUGAR,
relevant food colour,09000000,E5,5,2239.290,0.00,"0310736984, 0310776850, 0310734213, 0310740883, 0310705160",FOOD COLOUR,
Cane sugar Import of Lactose/Mannitol/Sodium Saccharin & Other Artificial Sweetening Agents is not allowed as substitute inputs against import item no.2,17019990,E5,5,1289516.300,0.00,"0910052275, 0310832880, 0310833197, 0310833199, 0310833198",SUGAR,
dietary fibre,13022000,E5,5,286718.380,1125110.00,"0910052935, 0310833591, 0310833589, 0311005261, 0311008621",DIETARY FIBRE,
iv) STARCH,23031000,E5,5,7553.770,0.00,"0310732445, 0310701930, 0310746479, 0310714016, 0310713518",STARCH 3505,
vii) FRUIT / COCO POWDER,17000000,E5,5,13596.810,0.00,"0310732445, 0310701930, 0310746479, 0310714016, 0310713518",FRUIT/COCOA - E5,
MILK & MILK PRODUCTS,17011190,E5,5,105753.020,0.00,"0310732445, 0310701930, 0310746479, 0310714016, 0310713518",,
Vegetable fats (RBD Palm Olien),15119020,E5,5,3156649.440,0.00,"0910061782, 0910061780, 0910061490, 0910061491, 0910061781",RBD PALMOLEIN OIL,
Following Biscuit additives & ingredients: (SI. No. 4 to 11) i)Leavening Agent (Yeast),21021020,E5,5,36336.930,0.00,"0910061491, 0910061781, 0910061490, 0910061780, 0910061782",LEAVENING AGENT,
Relevant Food Colour Tartrazine (32041982)/ Sunset Yellow (32041212)/ Caramel (17029040),32041212,E5,5,503.390,0.00,"0910055753, 0910060902, 0910056125, 0910055752, 0910056126",FOOD COLOUR,
a) PP Granules Film Grade (HDPE Granules),39012000,E5,5,781218.930,0.00,"0910061490, 0910061781, 0910061491, 0910061782, 0910061780","HDPE, PP",
RELEVANT (FOOD COLOUR / FLAVOURING AGENT /FLAVOUR IMPROVERS ),09000000,E5,5,110264.360,15650.00,"0310682293, 0310683014, 0310681422, 0310740606, 0310680954","FOOD COLOUR, FOOD FLAVOUR - E5",
cane sugar,17011119,E5,5,322788.870,0.00,"5610005397, 5610000026, 5610000025, 5610000774, 5610000757",SUGAR,
Relevant (Food Flavour / Flavouring agent / Flavour improvers),08023100,E5,5,285315.460,0.00,"0310740886, 0310705160, 0311008159",FOOD FLAVOUR - E5,
citric acid,29181400,E1,5,33588.960,3.00,"0310782452, 0310791395, 0310793650, 0310672125, 0311040983",CITRIC ACID / TARTARIC ACID - E1,
(ii) EMULSIFIER (SOYA LICITHIN),38244090,E5,5,1359.740,1.01,"0310823762, 0310826316, 0310831148, 0310831147, 0310831149",EMULSIFIER - E5,
(III) Food Flavour (Ethyl Vanillin),29124200,E5,5,21755.900,8580.01,"0310823762, 0310826316, 0310831147, 0310831148, 0310831149",FOOD FLAVOUR - E5,
(V) FOOD COLOUR,32030020,E5,5,135.980,1.01,"0310823762, 0310826316, 0310831149, 0310831148, 0310831147",FOOD COLOUR,
(VI)ANTI OXIDENT,29072900,E5,5,77.450,1.01,"0310823762, 0310826316, 0310831147, 0310831148, 0310831149",ANTI OXIDANT,
vegetable shortening/cream/fats/spray fats,15171021,E5,5,283175.850,0.00,"0310713518, 5610000757, 5610000774, 5610000025, 5610000026","RBD PALMOLEIN OIL, VEGETABLE SHORTENING",
ii) relevant food colour,32030020,E1,5,3191.580,0.00,"0310727810, 0310719625, 0310720147, 0310737558, 0910057626",FOOD COLOUR,
EMULSIFIER /STABILIZER/GLAZING AGENT/BINDERS/THICKENERS (ITEMS AS PER PFA ACT 1955),38249090,E1,5,2898.310,0.00,"0310708920, 0310727810, 0310737558, 0310719625, 0310720147",EMULSIFIER - E1,
ii) relevant food colour,32000000,E1,5,1411.980,0.00,"0310825596, 5610000027, 5610000028, 0310717723, 0310833304",FOOD COLOUR,
CITRIC ACID/TARTARIC ACID/MALIC ACID (FOOD GRADE RELEVANT) SUBJECT TO ACTUAL USER CONDITION,29181400,E1,5,4745.250,0.01,"0310830036, 0310830033, 0310831880, 0310839069, 0310838037",CITRIC ACID / TARTARIC ACID - E1,
dietary fibre,11080000,E5,5,9140.720,0.00,"3010105333, 3010105334, 0910066439, 0910066290, 0910065885","DIETARY FIBRE, STARCH 1108",
milk & milk products milk solids,04041010,E5,5,193591.920,0.00,"3010105334, 3010105333, 0910065885, 0910066290, 0910066439",SWP,
packing material pp granules,39210000,E5,5,451583.970,0.00,"3010105333, 3010105334, 0910066439, 0910066290, 0910065885",PP,
iii) relevant food flavour (vanillin),29124100,E5,5,11191.150,1.00,"0310831843, 0310828188, 0310829966, 0310828173, 0310828159",FOOD FLAVOUR - E5,
